source_key,source_table,parquet_name,rows,status,error,written_at
caixa_001_2015_07_julho_min_cidades_pf_pf.csv,caixa_001_2015_07_julho_min_cidades_pf_pf,caixa_001_2015_07_julho_min_cidades_pf_pf.parquet,153170,success,,2026-08-31T12:34:59.647568+00:00
caixa_001_2015_10_outubro_bases_relat_rio_executivo_31102015.csv,caixa_001_2015_10_outubro_bases_relatório_executivo_31102015,caixa_001_2015_10_outubro_bases_relatório_executivo_31102015.parquet,38635,success,,2026-08-31T12:39:24.100418+00:00
caixa_001_2015_11_novembro_bases_relat_rio_executivo_30112015.csv,caixa_001_2015_11_novembro_bases_relatório_executivo_30112015,caixa_001_2015_11_novembro_bases_relatório_executivo_30112015.parquet,38897,success,,2026-08-31T12:42:14.242417+00:00
caixa_001_2015_datas_entregas_pj_mcmv_30062015.csv,caixa_001_2015_datas_entregas_pj_mcmv_30062015,caixa_001_2015_datas_entregas_pj_mcmv_30062015.parquet,98955,success,,2026-08-31T12:44:21.146825+00:00
caixa_001_2015_06_junho_bext_30062015.csv,caixa_001_2015_06_junho_bext_30062015,caixa_001_2015_06_junho_bext_30062015.parquet,505104,success,,2026-08-31T12:51:18.640447+00:00
caixa_001_2015_07_julho_min_cidades_pj_pf.csv,caixa_001_2015_07_julho_min_cidades_pj_pf,caixa_001_2015_07_julho_min_cidades_pj_pf.parquet,213794,success,,2026-08-31T12:51:24.150992+00:00
caixa_001_2016_bases_relat_rio_executivo_30042016.csv,caixa_001_2016_bases_relatório_executivo_30042016,caixa_001_2016_bases_relatório_executivo_30042016.parquet,40053,success,,2026-08-31T12:52:01.413686+00:00
caixa_001_2016_grafico_mcmv_31082016.csv,caixa_001_2016_grafico_mcmv_31082016,caixa_001_2016_grafico_mcmv_31082016.parquet,8,success,,2026-08-31T12:52:01.675731+00:00
caixa_001_2017_contrata__o_por_uf_nov_2017.csv,caixa_001_2017_contratação_por_uf_nov_2017,caixa_001_2017_contratação_por_uf_nov_2017.parquet,225,success,,2026-08-31T12:52:02.009215+00:00
caixa_001_2016_02_fevereiro_relatorio_cidades_20160229_v2.csv,caixa_001_2016_02_fevereiro_relatorio_cidades_20160229_v2,caixa_001_2016_02_fevereiro_relatorio_cidades_20160229_v2.parquet,533706,success,,2026-08-31T13:07:48.948577+00:00
caixa_001_2016_bext_30042016.csv,caixa_001_2016_bext_30042016,caixa_001_2016_bext_30042016.parquet,548374,success,,2026-08-31T13:08:07.798114+00:00
caixa_002_2015_08_agosto_bases_relat_rio_executivo_31082015.csv,caixa_002_2015_08_agosto_bases_relatório_executivo_31082015,caixa_002_2015_08_agosto_bases_relatório_executivo_31082015.parquet,38245,success,,2026-08-31T13:08:44.734768+00:00
caixa_002_2015_08_agosto_bases_relat_rio_executivo_12082015.csv,caixa_002_2015_08_agosto_bases_relatório_executivo_12082015,caixa_002_2015_08_agosto_bases_relatório_executivo_12082015.parquet,37997,success,,2026-08-31T13:10:37.678572+00:00
caixa_001_2015_10_outubro_bext_31102015.csv,caixa_001_2015_10_outubro_bext_31102015,caixa_001_2015_10_outubro_bext_31102015.parquet,526740,success,,2026-08-31T13:10:37.918216+00:00
caixa_002_2015_12_dezembro_bases_relat_rio_executivo_31122015.csv,caixa_002_2015_12_dezembro_bases_relatório_executivo_31122015,caixa_002_2015_12_dezembro_bases_relatório_executivo_31122015.parquet,39199,success,,2026-08-31T13:13:24.422744+00:00
caixa_002_2016_08_agosto_bases_relat_rio_executivo_31082016.csv,caixa_002_2016_08_agosto_bases_relatório_executivo_31082016,caixa_002_2016_08_agosto_bases_relatório_executivo_31082016.parquet,42055,success,,2026-08-31T13:13:34.559608+00:00
caixa_002_2016_bases_relat_rio_executivo_31122016.csv,caixa_002_2016_bases_relatório_executivo_31122016,caixa_002_2016_bases_relatório_executivo_31122016.parquet,42671,success,,2026-08-31T13:14:05.234002+00:00
caixa_002_2017_bases_relat_rio_executivo_abr2017.csv,caixa_002_2017_bases_relat_rio_executivo_abr2017,caixa_002_2017_bases_relat_rio_executivo_abr2017.parquet,43343,success,,2026-08-31T13:14:59.274764+00:00
