key,layer,extension,size_bytes,size_mb,last_modified,year_hint,tags_preditive,score_preditivo
staging/MCMV_CIDADES_EMENDAS_2026_03_27.xlsx__resumo.parquet,staging,parquet,8080,0.008,2026-07-17T02:49:12.256000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2025_12_12.xlsx__resumo.parquet,staging,parquet,7936,0.008,2026-07-17T02:34:40.214000+00:00,2025.0,,0
staging/MCMV_CIDADES_EMENDAS_2025_12_19.xlsx__resumo.parquet,staging,parquet,7935,0.008,2026-07-17T02:34:41.344000+00:00,2025.0,,0
staging/dados_abertos_orcamento_2024.csv.parquet,staging,parquet,7935,0.008,2026-08-10T19:54:51.813000+00:00,2024.0,,0
staging/MCMV_CIDADES_EMENDAS_2025_12_26.xlsx__resumo.parquet,staging,parquet,7934,0.008,2026-07-17T02:34:42.555000+00:00,2025.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_01_16.xlsx__resumo.parquet,staging,parquet,7930,0.008,2026-07-17T02:34:46.364000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_01_23.xlsx__resumo.parquet,staging,parquet,7930,0.008,2026-07-17T02:34:47.733000+00:00,2026.0,,0
raw/orcamento_resultado_emendas.csv,raw,csv,7928,0.008,2026-08-10T19:52:00.939000+00:00,,,0
staging/MCMV_CIDADES_EMENDAS_2026_01_09.xlsx__resumo.parquet,staging,parquet,7927,0.008,2026-07-17T02:34:45.032000+00:00,2026.0,,0
staging/MCMV_CIDADES_EMENDAS_2026_01_05.xlsx__resumo.parquet,staging,parquet,7926,0.008,2026-07-17T02:34:43.786000+00:00,2026.0,,0
staging/PMCMV_CIDADES_MCID_2026_01_06.csv.parquet,staging,parquet,7799,0.007,2026-07-17T02:49:37.313000+00:00,2026.0,,0
staging/MC20251212__MCidades_AO_1.mdb__tab_unid_hab_fx1_5_pmcmv.parquet,staging,parquet,7772,0.007,2026-07-17T02:57:31.557000+00:00,2025.0,,0
staging/MC20251219__MCidades_AO_1.mdb__tab_unid_hab_fx1_5_pmcmv.parquet,staging,parquet,7772,0.007,2026-07-17T02:59:09.102000+00:00,2025.0,,0
staging/MC20251226__MCidades_AO_1.mdb__tab_unid_hab_fx1_5_pmcmv.parquet,staging,parquet,7772,0.007,2026-07-17T03:00:49.935000+00:00,2025.0,,0
staging/MC20260102__MCidades_AO_1.mdb__tab_unid_hab_fx1_5_pmcmv.parquet,staging,parquet,7772,0.007,2026-07-17T03:02:29.805000+00:00,2026.0,,0
staging/MC20260109__MCidades_AO_1.mdb__tab_unid_hab_fx1_5_pmcmv.parquet,staging,parquet,7772,0.007,2026-07-17T03:04:12.804000+00:00,2026.0,,0
staging/MC20260116__MCidades_AO_1.mdb__tab_unid_hab_fx1_5_pmcmv.parquet,staging,parquet,7772,0.007,2026-07-17T03:05:52.205000+00:00,2026.0,,0
staging/MC20260123__MCidades_AO_1.mdb__tab_unid_hab_fx1_5_pmcmv.parquet,staging,parquet,7772,0.007,2026-07-17T03:07:32.704000+00:00,2026.0,,0
staging/MC20260204__MCidades_AO_1.mdb__tab_unid_hab_fx1_5_pmcmv.parquet,staging,parquet,7772,0.007,2026-07-17T03:09:12.443000+00:00,2026.0,,0
staging/MC20260206__MCidades_AO_1.mdb__tab_unid_hab_fx1_5_pmcmv.parquet,staging,parquet,7772,0.007,2026-07-17T03:10:36.761000+00:00,2026.0,,0
